"Food Bank	Address	X	Y"			
"6:8 Church	""8802 NW 9th Ave"	 Vancouver	 WA	" 98665""	45.6861414	-122.6805745"
"Aberdeen Community Food Bank	""306 1/2 N I St"	 Aberdeen	 WA	" 98520""	46.9776217	-123.8195732"
"Addy Rescue Mission Soup Kitchen	""1390 Main Street"	 Addy	 WA	" 99101""	48.357309	-117.8376374"
"Adra P. Berry Food Bank	""31104 SE 86th St"	 Preston	 WA	" 98050""	47.523587	-121.9263491"
"Adventist Community Service Center	""1029 Puget St NE"	 Olympia	 WA	" 98506""	47.05348	-122.887798"
"Adventist Community Services of Grays Harbor	""3101 Cherry St"	 Hoquiam	 WA	" 98550""	46.9769716	-123.8537639"
"Alger Food Bank	""18731 Parkview Lane"	 Alger	 WA	" 98284""	48.6182382	-122.3402169"
"All Saints Community Services	""204 6th Ave SW"	 Puyallup	 WA	" 98371""	47.1869673	-122.2953327"
"All Saints Lutheran Church	""314 S. Spruce Street"	 Spokane	 WA	" 99201""	47.6530303	-117.4466847"
"Allen AME Church	""1223 MLK Jr Way"	 Tacoma	 WA	" 98405""	47.250297	-122.450906"
"Allen Creek Community Church - Resource Exchange	""7302 44th Ave NE Suite B-2"	 Marysville	 WA	" 98270""	48.0623146	-122.1723738"
"Allied People Offering Year-Round Outreach	""400 E University Way at the Old Heating Plant"	 Ellensburg	 WA	" 98926""	46.9993512	-120.5430544"
"Amboy Emergency Food Bank	""22200 Chelatchie Rd"	 Amboy	 WA	" 98601""	45.913946	-122.445847"
"Anacortes 100 Food Bank	""512 4th St"	 Anacortes	 WA	" 98221""	48.5192535	-122.6055186"
"Arlington Food Bank	""19118 63rd Ave. NE"	 Arlington	 WA	" 98223""	48.1695088	-122.1459952"
"Asian Counseling and Referral Service	""919 S King St"	 Seattle	 WA	" 98104""	47.5983375	-122.3205836"
"Asotin County Food Bank Association	""1546 Maple St"	 Clarkston	 WA	" 99403""	46.4162817	-117.0715629"
"Auburn Food Bank	""930 18th Pl NE"	 Auburn	 WA	" 98002""	47.3240415	-122.218356"
